,Characteristic Time,Heat Loss to Room,Room Temperature,Teacup Temperature,FINAL TIME,INITIAL TIME,SAVEPER,TIME STEP
0.0,10,11.0,70,180.0,30,0,0.125,0.125
0.125,10,10.8625,70,178.625,30,0,0.125,0.125
0.25,10,10.72671875,70,177.2671875,30,0,0.125,0.125
0.375,10,10.592634765625002,70,175.92634765625002,30,0,0.125,0.125
0.5,10,10.460226831054689,70,174.6022683105469,30,0,0.125,0.125
0.625,10,10.329473995666504,70,173.29473995666504,30,0,0.125,0.125
0.75,10,10.20035557072067,70,172.00355570720671,30,0,0.125,0.125
0.875,10,10.072851126086665,70,170.72851126086664,30,0,0.125,0.125
1.0,10,9.946940487010583,70,169.46940487010582,30,0,0.125,0.125
1.125,10,9.82260373092295,70,168.2260373092295,30,0,0.125,0.125
1.25,10,9.699821184286412,70,166.99821184286412,30,0,0.125,0.125
1.375,10,9.578573419482831,70,165.7857341948283,30,0,0.125,0.125
1.5,10,9.458841251739296,70,164.58841251739295,30,0,0.125,0.125
1.625,10,9.340605736092552,70,163.40605736092553,30,0,0.125,0.125
1.75,10,9.223848164391395,70,162.23848164391396,30,0,0.125,0.125
1.875,10,9.108550062336501,70,161.08550062336502,30,0,0.125,0.125
2.0,10,8.994693186557296,70,159.94693186557296,30,0,0.125,0.125
2.125,10,8.88225952172533,70,158.8225952172533,30,0,0.125,0.125
2.25,10,8.771231277703766,70,157.71231277703765,30,0,0.125,0.125
2.375,10,8.66159088673247,70,156.6159088673247,30,0,0.125,0.125
2.5,10,8.553321000648314,70,155.53321000648313,30,0,0.125,0.125
2.625,10,8.446404488140208,70,154.4640448814021,30,0,0.125,0.125
2.75,10,8.340824432038456,70,153.40824432038457,30,0,0.125,0.125
2.875,10,8.236564126637976,70,152.36564126637975,30,0,0.125,0.125
3.0,10,8.133607075055,70,151.33607075055,30,0,0.125,0.125
3.125,10,8.031936986616813,70,150.31936986616813,30,0,0.125,0.125
3.25,10,7.931537774284104,70,149.31537774284104,30,0,0.125,0.125
3.375,10,7.832393552105552,70,148.32393552105552,30,0,0.125,0.125
3.5,10,7.734488632704233,70,147.34488632704233,30,0,0.125,0.125
3.625,10,7.637807524795432,70,146.3780752479543,30,0,0.125,0.125
3.75,10,7.54233493073549,70,145.4233493073549,30,0,0.125,0.125
3.875,10,7.448055744101296,70,144.48055744101296,30,0,0.125,0.125
4.0,10,7.354955047300029,70,143.5495504730003,30,0,0.125,0.125
4.125,10,7.263018109208778,70,142.63018109208778,30,0,0.125,0.125
4.25,10,7.172230382843668,70,141.72230382843668,30,0,0.125,0.125
4.375,10,7.082577503058121,70,140.8257750305812,30,0,0.125,0.125
4.5,10,6.994045284269896,70,139.94045284269896,30,0,0.125,0.125
4.625,10,6.906619718216521,70,139.0661971821652,30,0,0.125,0.125
4.75,10,6.820286971738815,70,138.20286971738815,30,0,0.125,0.125
4.875,10,6.7350333845920805,70,137.3503338459208,30,0,0.125,0.125
5.0,10,6.65084546728468,70,136.5084546728468,30,0,0.125,0.125
5.125,10,6.567709898943622,70,135.67709898943622,30,0,0.125,0.125
5.25,10,6.485613525206827,70,134.85613525206827,30,0,0.125,0.125
5.375,10,6.404543356141741,70,134.0454335614174,30,0,0.125,0.125
5.5,10,6.324486564189971,70,133.2448656418997,30,0,0.125,0.125
5.625,10,6.245430482137595,70,132.45430482137596,30,0,0.125,0.125
5.75,10,6.1673626011108755,70,131.67362601110875,30,0,0.125,0.125
5.875,10,6.090270568596989,70,130.9027056859699,30,0,0.125,0.125
6.0,10,6.0141421864895275,70,130.14142186489528,30,0,0.125,0.125
6.125,10,5.938965409158408,70,129.38965409158408,30,0,0.125,0.125
6.25,10,5.864728341543929,70,128.6472834154393,30,0,0.125,0.125
6.375,10,5.79141923727463,70,127.9141923727463,30,0,0.125,0.125
6.5,10,5.719026496808697,70,127.19026496808696,30,0,0.125,0.125
6.625,10,5.647538665598587,70,126.47538665598587,30,0,0.125,0.125
6.75,10,5.576944432278604,70,125.76944432278604,30,0,0.125,0.125
6.875,10,5.507232626875121,70,125.07232626875121,30,0,0.125,0.125
7.0,10,5.438392219039183,70,124.38392219039183,30,0,0.125,0.125
7.125,10,5.370412316301193,70,123.70412316301193,30,0,0.125,0.125
7.25,10,5.303282162347427,70,123.03282162347428,30,0,0.125,0.125
7.375,10,5.236991135318085,70,122.36991135318085,30,0,0.125,0.125
7.5,10,5.171528746126609,70,121.71528746126609,30,0,0.125,0.125
7.625,10,5.106884636800027,70,121.06884636800027,30,0,0.125,0.125
7.75,10,5.043048578840026,70,120.43048578840026,30,0,0.125,0.125
7.875,10,4.980010471604525,70,119.80010471604525,30,0,0.125,0.125
8.0,10,4.917760340709469,70,119.1776034070947,30,0,0.125,0.125
8.125,10,4.856288336450601,70,118.562883364506,30,0,0.125,0.125
8.25,10,4.7955847322449685,70,117.95584732244969,30,0,0.125,0.125
8.375,10,4.735639923091907,70,117.35639923091907,30,0,0.125,0.125
8.5,10,4.676444424053258,70,116.76444424053258,30,0,0.125,0.125
8.625,10,4.617988868752593,70,116.17988868752593,30,0,0.125,0.125
8.75,10,4.560264007893186,70,115.60264007893186,30,0,0.125,0.125
8.875,10,4.50326070779452,70,115.0326070779452,30,0,0.125,0.125
9.0,10,4.446969948947088,70,114.46969948947088,30,0,0.125,0.125
9.125,10,4.39138282458525,70,113.9138282458525,30,0,0.125,0.125
9.25,10,4.336490539277935,70,113.36490539277935,30,0,0.125,0.125
9.375,10,4.28228440753696,70,112.8228440753696,30,0,0.125,0.125
9.5,10,4.228755852442748,70,112.28755852442748,30,0,0.125,0.125
